Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:31:18 2021,1609961478.266691,1205.418,0.07028675079345703
Wed Jan  6 11:31:19 2021,1609961479.3406994,1205.091,0.0702676773071289
Wed Jan  6 11:31:20 2021,1609961480.4147098,1205.091,0.0702676773071289
Wed Jan  6 11:31:21 2021,1609961481.4888375,1205.614,0.0702981948852539
Wed Jan  6 11:31:22 2021,1609961482.562898,1205.508,0.07029199600219727
Wed Jan  6 11:31:23 2021,1609961483.6369376,1205.45,0.07028865814208984
Wed Jan  6 11:31:24 2021,1609961484.7111154,1205.332,0.0702817440032959
Wed Jan  6 11:31:25 2021,1609961485.720121,88.201,0.005142927169799805
Wed Jan  6 11:31:26 2021,1609961486.7942295,1205.299,0.07027983665466309
Wed Jan  6 11:31:27 2021,1609961487.8683376,1205.401,0.07028579711914062
Wed Jan  6 11:31:28 2021,1609961488.9424386,1205.43,0.07028746604919434
Wed Jan  6 11:31:30 2021,1609961490.0164478,1205.467,0.07028961181640625
Wed Jan  6 11:31:31 2021,1609961491.0905907,1205.352,0.0702829360961914
Wed Jan  6 11:31:32 2021,1609961492.1647792,1205.463,0.07028937339782715
Wed Jan  6 11:31:33 2021,1609961493.2388175,1205.446,0.07028841972351074
Wed Jan  6 11:31:34 2021,1609961494.3128238,1204.825,0.0702521800994873
Wed Jan  6 11:31:35 2021,1609961495.3881245,1205.459,0.07028913497924805
Wed Jan  6 11:31:36 2021,1609961496.3999257,90.552,0.005280017852783203
Wed Jan  6 11:31:37 2021,1609961497.4742672,1205.336,0.070281982421875
Wed Jan  6 11:31:38 2021,1609961498.4836173,90.454,0.005274295806884766
Wed Jan  6 11:31:39 2021,1609961499.4928267,88.447,0.0051572322845458984
Wed Jan  6 11:31:40 2021,1609961500.5019925,88.43,0.005156278610229492
Wed Jan  6 11:31:41 2021,1609961501.5113733,90.499,0.005276918411254883
Wed Jan  6 11:31:42 2021,1609961502.5207107,90.957,0.005303621292114258
Wed Jan  6 11:31:43 2021,1609961503.5300865,90.54,0.0052793025970458984
Wed Jan  6 11:31:44 2021,1609961504.539205,87.183,0.005083560943603516
Wed Jan  6 11:31:45 2021,1609961505.5484183,88.876,0.0051822662353515625
Wed Jan  6 11:31:46 2021,1609961506.622743,1205.549,0.07029438018798828
Wed Jan  6 11:31:47 2021,1609961507.6970425,1205.385,0.07028484344482422
