Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:45:33 2021,1609962333.1843765,164.606,0.009598016738891602
Wed Jan  6 11:45:34 2021,1609962334.228404,688.068,0.040120601654052734
Wed Jan  6 11:45:35 2021,1609962335.261483,497.866,0.02903008460998535
Wed Jan  6 11:45:36 2021,1609962336.852712,382.58,0.022307872772216797
Wed Jan  6 11:45:37 2021,1609962337.899904,732.903,0.04273486137390137
Wed Jan  6 11:45:38 2021,1609962338.9112074,115.666,0.006744384765625
Wed Jan  6 11:45:39 2021,1609962339.96264,812.166,0.047356605529785156
Wed Jan  6 11:45:41 2021,1609962341.048551,1203.193,0.07015705108642578
Wed Jan  6 11:45:42 2021,1609962342.128601,1203.234,0.0701594352722168
Wed Jan  6 11:45:43 2021,1609962343.2027884,1203.165,0.07015538215637207
Wed Jan  6 11:45:44 2021,1609962344.2768786,1203.238,0.0701596736907959
Wed Jan  6 11:45:45 2021,1609962345.3508728,1203.202,0.07015752792358398
Wed Jan  6 11:45:46 2021,1609962346.4249296,1203.382,0.07016801834106445
Wed Jan  6 11:45:47 2021,1609962347.499145,1203.435,0.07017111778259277
Wed Jan  6 11:45:48 2021,1609962348.5296736,454.307,0.026490211486816406
Wed Jan  6 11:45:49 2021,1609962349.5607653,464.19,0.027066469192504883
Wed Jan  6 11:45:50 2021,1609962350.6348593,1199.313,0.0699307918548584
Wed Jan  6 11:45:51 2021,1609962351.7090244,1203.206,0.07015776634216309
Wed Jan  6 11:45:52 2021,1609962352.7834463,1203.455,0.07017230987548828
Wed Jan  6 11:45:53 2021,1609962353.857232,1203.394,0.07016873359680176
Wed Jan  6 11:45:54 2021,1609962354.8777878,287.473,0.016762256622314453
Wed Jan  6 11:45:55 2021,1609962355.888679,103.923,0.0060596466064453125
Wed Jan  6 11:45:56 2021,1609962356.9629066,1203.251,0.0701603889465332
Wed Jan  6 11:45:57 2021,1609962357.984478,299.907,0.017487287521362305
Wed Jan  6 11:45:59 2021,1609962359.0086572,343.883,0.02005147933959961
Wed Jan  6 11:46:00 2021,1609962360.0307007,307.737,0.017943859100341797
Wed Jan  6 11:46:01 2021,1609962361.0416958,116.104,0.006769895553588867
Wed Jan  6 11:46:02 2021,1609962362.1162248,1203.382,0.07016801834106445
Wed Jan  6 11:46:03 2021,1609962363.1904852,1203.406,0.07016944885253906
Wed Jan  6 11:46:04 2021,1609962364.264736,1203.136,0.07015371322631836
Wed Jan  6 11:46:05 2021,1609962365.3388696,1203.455,0.07017230987548828
Wed Jan  6 11:46:06 2021,1609962366.4127789,1203.312,0.07016396522521973
Wed Jan  6 11:46:07 2021,1609962367.4867911,1203.386,0.07016825675964355
Wed Jan  6 11:46:08 2021,1609962368.561028,1202.985,0.0701448917388916
Wed Jan  6 11:46:09 2021,1609962369.635245,1203.426,0.07017064094543457
Wed Jan  6 11:46:10 2021,1609962370.7094653,1203.341,0.07016563415527344
Wed Jan  6 11:46:11 2021,1609962371.7836487,1203.488,0.0701742172241211
Wed Jan  6 11:46:12 2021,1609962372.8454494,991.672,0.05782341957092285
Wed Jan  6 11:46:13 2021,1609962373.8757212,454.405,0.026495933532714844
Wed Jan  6 11:46:14 2021,1609962374.8854146,98.685,0.005754232406616211
Wed Jan  6 11:46:15 2021,1609962375.9034305,243.157,0.014178276062011719
Wed Jan  6 11:46:16 2021,1609962376.9215183,239.731,0.01397848129272461
Wed Jan  6 11:46:17 2021,1609962377.9957576,1203.521,0.0701761245727539
Wed Jan  6 11:46:19 2021,1609962379.0708165,1203.426,0.07017064094543457
Wed Jan  6 11:46:20 2021,1609962380.1457574,1203.574,0.07017922401428223
Wed Jan  6 11:46:21 2021,1609962381.2200797,1203.496,0.0701746940612793
Wed Jan  6 11:46:22 2021,1609962382.2946608,1203.459,0.07017254829406738
Wed Jan  6 11:46:23 2021,1609962383.3689952,1203.525,0.07017636299133301
Wed Jan  6 11:46:24 2021,1609962384.4432995,1203.557,0.07017827033996582
Wed Jan  6 11:46:25 2021,1609962385.5175807,1203.521,0.0701761245727539
Wed Jan  6 11:46:26 2021,1609962386.591831,1203.508,0.0701754093170166
Wed Jan  6 11:46:27 2021,1609962387.6662836,1203.476,0.07017350196838379
Wed Jan  6 11:46:28 2021,1609962388.6755667,85.126,0.00496363639831543
Wed Jan  6 11:46:29 2021,1609962389.702439,333.881,0.019468307495117188
Wed Jan  6 11:46:30 2021,1609962390.7516677,766.951,0.04472017288208008
Wed Jan  6 11:46:31 2021,1609962391.8261843,1203.508,0.0701754093170166
Wed Jan  6 11:46:32 2021,1609962392.900881,1203.516,0.0701758861541748
Wed Jan  6 11:46:33 2021,1609962393.9754736,1203.386,0.07016825675964355
Wed Jan  6 11:46:34 2021,1609962394.9850974,88.287,0.0051479339599609375
Wed Jan  6 11:46:36 2021,1609962396.0052378,266.893,0.015562295913696289
Wed Jan  6 11:46:37 2021,1609962397.0600164,859.793,0.050133705139160156
Wed Jan  6 11:46:38 2021,1609962398.1131067,826.362,0.04818439483642578
Wed Jan  6 11:46:39 2021,1609962399.1887872,1203.799,0.07019233703613281
Wed Jan  6 11:46:40 2021,1609962400.1985655,94.637,0.005518198013305664
Wed Jan  6 11:46:41 2021,1609962401.272797,1203.692,0.07018613815307617
Wed Jan  6 11:46:42 2021,1609962402.3519611,1203.713,0.07018733024597168
Wed Jan  6 11:46:43 2021,1609962403.4262245,1203.729,0.07018828392028809
Wed Jan  6 11:46:44 2021,1609962404.4363945,104.81,0.0061113834381103516
Wed Jan  6 11:46:45 2021,1609962405.4456398,86.39,0.0050373077392578125
Wed Jan  6 11:46:46 2021,1609962406.5275655,1185.378,0.06911826133728027
Wed Jan  6 11:46:47 2021,1609962407.5712216,562.254,0.032784461975097656
Wed Jan  6 11:46:48 2021,1609962408.6584911,1203.794,0.07019209861755371
Wed Jan  6 11:46:49 2021,1609962409.738397,1203.934,0.07020020484924316
Wed Jan  6 11:46:50 2021,1609962410.8133347,1203.688,0.07018589973449707
Wed Jan  6 11:46:51 2021,1609962411.8239605,115.948,0.006760835647583008
Wed Jan  6 11:46:52 2021,1609962412.8982506,1203.79,0.07019186019897461
Wed Jan  6 11:46:53 2021,1609962413.9725852,1203.893,0.07019782066345215
Wed Jan  6 11:46:55 2021,1609962415.0468059,1203.819,0.07019352912902832
Wed Jan  6 11:46:56 2021,1609962416.1211736,1203.901,0.07019829750061035
Wed Jan  6 11:46:57 2021,1609962417.1763725,875.903,0.05107307434082031
Wed Jan  6 11:46:58 2021,1609962418.2506442,1203.684,0.07018566131591797
Wed Jan  6 11:46:59 2021,1609962419.3205802,1130.297,0.06590652465820312
Wed Jan  6 11:47:00 2021,1609962420.390391,1127.623,0.0657505989074707
Wed Jan  6 11:47:01 2021,1609962421.4014096,119.522,0.0069692134857177734
Wed Jan  6 11:47:02 2021,1609962422.4756587,1203.713,0.07018733024597168
Wed Jan  6 11:47:03 2021,1609962423.496993,298.218,0.01738882064819336
Wed Jan  6 11:47:04 2021,1609962424.5710645,1203.807,0.07019281387329102
Wed Jan  6 11:47:05 2021,1609962425.580022,79.435,0.004631757736206055
Wed Jan  6 11:47:06 2021,1609962426.6547816,1203.905,0.07019853591918945
Wed Jan  6 11:47:07 2021,1609962427.6941369,599.393,0.03495001792907715
Wed Jan  6 11:47:08 2021,1609962428.769464,1203.774,0.0701909065246582
Wed Jan  6 11:47:09 2021,1609962429.843714,1203.778,0.0701911449432373
Wed Jan  6 11:47:10 2021,1609962430.9180038,1203.827,0.07019400596618652
Wed Jan  6 11:47:11 2021,1609962431.992122,1203.745,0.07018923759460449
Wed Jan  6 11:47:13 2021,1609962433.066291,1203.95,0.07020115852355957
Wed Jan  6 11:47:14 2021,1609962434.1405854,1203.868,0.07019639015197754
Wed Jan  6 11:47:15 2021,1609962435.2152307,1203.929,0.07019996643066406
Wed Jan  6 11:47:16 2021,1609962436.2279036,153.664,0.00896000862121582
Wed Jan  6 11:47:17 2021,1609962437.3021863,1203.872,0.07019662857055664
Wed Jan  6 11:47:18 2021,1609962438.3764188,1203.79,0.07019186019897461
Wed Jan  6 11:47:19 2021,1609962439.4504852,1203.884,0.07019734382629395
Wed Jan  6 11:47:20 2021,1609962440.52453,1203.754,0.0701897144317627
Wed Jan  6 11:47:21 2021,1609962441.5987716,1203.848,0.07019519805908203
Wed Jan  6 11:47:22 2021,1609962442.6729355,1203.966,0.07020211219787598
Wed Jan  6 11:47:23 2021,1609962443.747143,1203.88,0.07019710540771484
Wed Jan  6 11:47:24 2021,1609962444.8210993,1203.868,0.07019639015197754
Wed Jan  6 11:47:25 2021,1609962445.8952732,1203.917,0.07019925117492676
Wed Jan  6 11:47:26 2021,1609962446.9693742,1203.807,0.07019281387329102
Wed Jan  6 11:47:28 2021,1609962448.0435576,1203.884,0.07019734382629395
